temperature,fraction_melted
79.6683,0.0000
79.9381,0.0214
80.2080,0.0389
80.4778,0.0520
80.7477,0.0622
81.0176,0.0725
81.2875,0.0767
81.5574,0.0871
81.8254,0.1054
82.0971,0.1226
82.3669,0.1404
82.6368,0.1536
82.9067,0.1586
83.1766,0.1693
83.4465,0.1835
83.7163,0.1973
83.9792,0.2147
84.2560,0.2364
84.5258,0.2631
84.7949,0.2965
85.0569,0.3495
85.3025,0.4025
85.5223,0.4725
85.7082,0.5415
85.9199,0.6017
86.0374,0.6583
86.2070,0.7263
86.3462,0.7917
86.5604,0.8606
86.8262,0.8977
87.0486,0.9461
87.3150,0.9686
87.6129,0.9698
87.8828,0.9758
88.1528,0.9767
88.4227,0.9925
88.6926,0.9951
88.9625,0.9999
89.2325,0.9993